sample_rank,job_id,unit_type,unit_id,event_id,component_count,oo_request_id,condition_id,question,dispute_utc,too_early,dvm_request_id,dvm_round,oi_usd,security_load_usd,security_load_uma,required_selected_stake_uma,observed_revealer_count,zero_stake_revealer_count,candidate_count,candidate_stake_uma,capacity_ratio,capacity_feasible,stake_desc_minimum_voter_count,effective_candidate_count,candidate_scope,effective_cap_rule,single_batch_full_release,scenario,mean_cost_usd,continuous_bisection_max_iterations,cent_bisection_max_iterations,continuous_greedy_reward_upper_usd_p10,continuous_greedy_reward_upper_usd_p50,continuous_greedy_reward_upper_usd_p90,continuous_greedy_reward_upper_usd_p99,continuous_greedy_reward_upper_usd_mean,continuous_greedy_reward_lower_usd_p10,continuous_greedy_reward_lower_usd_p50,continuous_greedy_reward_lower_usd_p90,continuous_greedy_reward_lower_usd_p99,continuous_greedy_reward_lower_usd_mean,continuous_reward_bracket_width_usd_p10,continuous_reward_bracket_width_usd_p50,continuous_reward_bracket_width_usd_p90,continuous_reward_bracket_width_usd_p99,continuous_reward_bracket_width_usd_mean,posted_greedy_reward_usd_p10,posted_greedy_reward_usd_p50,posted_greedy_reward_usd_p90,posted_greedy_reward_usd_p99,posted_greedy_reward_usd_mean,rounding_overhead_usd_p10,rounding_overhead_usd_p50,rounding_overhead_usd_p90,rounding_overhead_usd_p99,rounding_overhead_usd_mean,selected_voter_count_p10,selected_voter_count_p50,selected_voter_count_p90,selected_voter_count_p99,selected_voter_count_mean,selected_stake_uma_p10,selected_stake_uma_p50,selected_stake_uma_p90,selected_stake_uma_p99,selected_stake_uma_mean,excess_stake_uma_p10,excess_stake_uma_p50,excess_stake_uma_p90,excess_stake_uma_p99,excess_stake_uma_mean,coverage_ratio_p10,coverage_ratio_p50,coverage_ratio_p90,coverage_ratio_p99,coverage_ratio_mean,selected_direct_cost_usd_p10,selected_direct_cost_usd_p50,selected_direct_cost_usd_p90,selected_direct_cost_usd_p99,selected_direct_cost_usd_mean,reward_to_selected_cost_ratio_p10,reward_to_selected_cost_ratio_p50,reward_to_selected_cost_ratio_p90,reward_to_selected_cost_ratio_p99,reward_to_selected_cost_ratio_mean,participant_surplus_usd_p10,participant_surplus_usd_p50,participant_surplus_usd_p90,participant_surplus_usd_p99,participant_surplus_usd_mean,posted_reward_le_50_usd_share,posted_reward_le_100_usd_share,posted_reward_le_200_usd_share
1,job_b2a98abfa303b344,economic_market_attempt,em_536a4d485f4db90e453cd904,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,1,YES_OR_NO_QUERY-1678730145-0x8a947d708ba3b5df275b45de707cfc1631f07ea3abab37a34179b46ac09fe823,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,Will the Fed cut rates in March?,2023-03-22T18:11:54Z,True,YES_OR_NO_QUERY-1679508172-0x8d64f6550e1231e06fe66b00143457c77cdd4c3f83fd39ff3adb3e8160ebb5ec,9720,1436.683414,2873.366828,1352.1726249411765,1352.1726249411765,69,0,69,12905539.915899573,9544.29906200845,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,low,0.2,28,10,0.06527749589837752,0.09070564997996744,0.1388081036606425,0.18976404701456637,0.09745298533040088,0.06527749408436344,0.09070564828828498,0.13880810234687752,0.18976404554030912,0.09745298388164224,1.07334971910511e-09,1.4235320588973366e-09,1.872042422190745e-09,1.981765525016499e-09,1.4487586433742372e-09,0.07,0.1,0.14,0.1900999999999999,0.10236000000000003,0.0009326324412685849,0.004756785519824072,0.0089345581170968,0.009856473751659421,0.0049070146695991195,1.0,1.0,1.0,1.0,1.0,2982.0,198250.00216625238,1296145.6772140772,1296145.6772140772,416122.0238830494,1629.8273750588235,196897.8295413112,1294793.504589136,1294793.504589136,414769.8512581082,2.205339721420352,146.61589689768851,958.5652403445628,958.5652403445628,307.74326902317813,0.06528887205202064,0.0908655343763447,0.13915640050004727,0.18976404691561394,0.09767784744449576,1.00793071733319,1.0469586019025878,1.1042250254958184,1.1405759605793975,1.0525034661583528,0.000797280006844521,0.004533915444412097,0.008838110191095356,0.009796606965146741,0.004682152555504246,1.0,1.0,1.0
1,job_b2a98abfa303b344,economic_market_attempt,em_536a4d485f4db90e453cd904,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,1,YES_OR_NO_QUERY-1678730145-0x8a947d708ba3b5df275b45de707cfc1631f07ea3abab37a34179b46ac09fe823,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,Will the Fed cut rates in March?,2023-03-22T18:11:54Z,True,YES_OR_NO_QUERY-1679508172-0x8d64f6550e1231e06fe66b00143457c77cdd4c3f83fd39ff3adb3e8160ebb5ec,9720,1436.683414,2873.366828,1352.1726249411765,1352.1726249411765,69,0,69,12905539.915899573,9544.29906200845,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,baseline,1.0,28,10,0.32638747949188757,0.45352824989983714,0.6940405183032125,0.9488202350728319,0.48726492665200444,0.32638747042181715,0.4535282414414249,0.6940405117343876,0.9488202277015455,0.4872649194082112,5.36674859552555e-09,7.117660294486683e-09,9.360212110953725e-09,9.908827625082494e-09,7.243793216871186e-09,0.33,0.46,0.7,0.9502999999999997,0.49213,0.0009436069758901711,0.004888408534067329,0.008820973034107588,0.009916264355919998,0.004865073347995613,1.0,1.0,1.0,1.0,1.0,2982.0,152696.17197656032,1296145.6772140772,1296145.6772140772,389497.19688707415,1629.8273750588235,151343.99935161913,1294793.504589136,1294793.504589136,388145.024262133,2.205339721420352,112.92653701165045,958.5652403445628,958.5652403445628,288.0528637414313,0.3263874786809952,0.4540030034021265,0.6940405124530163,0.9488202345780696,0.48731142829122065,1.0018217348539469,1.009830733723112,1.021240756205867,1.0300998700891455,1.0107672544190451,0.00092967292641149,0.004846795942059473,0.008809065341496464,0.00989348347688251,0.0048185717087793605,1.0,1.0,1.0
1,job_b2a98abfa303b344,economic_market_attempt,em_536a4d485f4db90e453cd904,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,1,YES_OR_NO_QUERY-1678730145-0x8a947d708ba3b5df275b45de707cfc1631f07ea3abab37a34179b46ac09fe823,0x01f6117afa78abf29873d0ddf2611d2a08e4f1551d8721c8ff4f0358534efb70,Will the Fed cut rates in March?,2023-03-22T18:11:54Z,True,YES_OR_NO_QUERY-1679508172-0x8d64f6550e1231e06fe66b00143457c77cdd4c3f83fd39ff3adb3e8160ebb5ec,9720,1436.683414,2873.366828,1352.1726249411765,1352.1726249411765,69,0,69,12905539.915899573,9544.29906200845,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,high,4.0,28,10,1.3055499179675503,1.8141129995993486,2.77616207321285,3.7952809402913275,1.9490597066080178,1.3055498816872686,1.8141129657656996,2.7761620469375505,3.795280910806182,1.9490596776328448,2.14669943821022e-08,2.8470641177946732e-08,3.74408484438149e-08,3.963531050032998e-08,2.8975172867484745e-08,1.31,1.82,2.7820000000000005,3.800999999999999,1.9539900000000001,0.0008250947741054393,0.004854156823057565,0.009025709364922242,0.009903181033472848,0.004930293391982442,1.0,1.0,1.0,1.0,1.0,2982.0,128453.99234117285,1296145.6772140772,1296145.6772140772,384165.9907604401,1629.8273750588235,127101.81971623168,1294793.504589136,1294793.504589136,382813.8181354989,2.205339721420352,94.99821988095712,958.5652403445628,958.5652403445628,284.1101673517111,1.3055499147239809,1.814112991753314,2.7761620498120654,3.7952809383122785,1.9490748005384948,1.0004232109090474,1.0025371856798755,1.0053510057747599,1.007391939607949,1.0027368574801274,0.0008251034590666118,0.004827299129282481,0.009025721908142303,0.009903207729443862,0.004915199461505005,1.0,1.0,1.0
2,job_30a96d9c0fbf0c85,economic_market_attempt,em_73e7614c600dd45b263b63cc,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,1,YES_OR_NO_QUERY-1677261520-0xceefd350e523a217dfb54fe0d5ff490c13df7b647da21434cd3ea7e930604ccb,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,Arbitrum airdrop by March 31st?,2023-03-23T14:44:40Z,False,YES_OR_NO_QUERY-1679579248-0xb086781ad82ba0213fd861bf3a20b895f7ff8fb8cc16d186438e9e6abc95fd49,9720,1046205.138717,2092410.277434,996860.5418932824,996860.5418932824,69,0,69,12905539.915899573,12.946183917951844,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,low,0.2,28,10,0.09014332718801236,0.17108022214846347,0.3572263575371099,0.5845049564277398,0.20088661177330852,0.09014332594737454,0.171080221000454,0.3572263560827012,0.5845049552172811,0.20088661033962688,1.0647198134261515e-09,1.4117847779715476e-09,1.862694800625064e-09,1.9850715899938366e-09,1.4336816495874592e-09,0.1,0.18,0.36,0.59,0.20588,0.0009270991920202977,0.005116330039957609,0.008940503699996175,0.00986670414649211,0.004993388226691458,1.0,1.0,2.0,2.0,1.13,1252477.5099118527,1296145.6772140772,1599221.478215311,2264390.1419622544,1350173.4119928435,255616.96801857013,299285.13532079477,602360.9363220286,1267529.600068972,353312.870099561,1.256421994126772,1.3002276875683925,1.604257978932537,2.2715214885139527,1.3544255743421574,0.09014332718801238,0.17030479061303827,0.33061814936661493,0.5004720217877241,0.19341814122969822,1.0058042937421559,1.0336181295635485,1.1081688211642844,1.608139121074387,1.0603729105185529,0.0009677117841471212,0.005665681007627196,0.022194168862093418,0.15538475038653027,0.01246185877030177,1.0,1.0,1.0
2,job_30a96d9c0fbf0c85,economic_market_attempt,em_73e7614c600dd45b263b63cc,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,1,YES_OR_NO_QUERY-1677261520-0xceefd350e523a217dfb54fe0d5ff490c13df7b647da21434cd3ea7e930604ccb,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,Arbitrum airdrop by March 31st?,2023-03-23T14:44:40Z,False,YES_OR_NO_QUERY-1679579248-0xb086781ad82ba0213fd861bf3a20b895f7ff8fb8cc16d186438e9e6abc95fd49,9720,1046205.138717,2092410.277434,996860.5418932824,996860.5418932824,69,0,69,12905539.915899573,12.946183917951844,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,baseline,1.0,28,10,0.4507166359400618,0.8554011107423174,1.7861317876855496,2.922524782138699,1.0044330588665427,0.45071662973687265,0.85540110500227,1.786131780413506,2.922524776086405,1.0044330516981346,5.323599067130757e-09,7.058923889857738e-09,9.313474003125321e-09,9.925357949969183e-09,7.1684082479372964e-09,0.46,0.86,1.79,2.93,1.00941,0.0010155744671888846,0.004926276031150145,0.00896582983017855,0.009852018584452055,0.004976941133457335,1.0,1.0,2.0,2.0,1.13,1252477.5099118527,1296145.6772140772,1599221.478215311,2264390.1419622544,1350173.4119928435,255616.96801857013,299285.13532079477,602360.9363220286,1267529.600068972,353312.870099561,1.256421994126772,1.3002276875683925,1.604257978932537,2.2715214885139527,1.3544255743421574,0.45071663594006184,0.8515239530651914,1.6530907468330747,2.50236010893862,0.9670907061484911,1.0013034902520204,1.006652797209769,1.0497783017496445,1.596701652585883,1.0337024526183831,0.0010547741058631543,0.005684907624194158,0.08685400172517495,0.7571055969045278,0.042319293851508885,1.0,1.0,1.0
2,job_30a96d9c0fbf0c85,economic_market_attempt,em_73e7614c600dd45b263b63cc,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,1,YES_OR_NO_QUERY-1677261520-0xceefd350e523a217dfb54fe0d5ff490c13df7b647da21434cd3ea7e930604ccb,0x8e93a6d09bd936035b48e503d5227bc71b088e47027fffc8a122d82b0132004b,Arbitrum airdrop by March 31st?,2023-03-23T14:44:40Z,False,YES_OR_NO_QUERY-1679579248-0xb086781ad82ba0213fd861bf3a20b895f7ff8fb8cc16d186438e9e6abc95fd49,9720,1046205.138717,2092410.277434,996860.5418932824,996860.5418932824,69,0,69,12905539.915899573,12.946183917951844,True,1,19.98718503025007,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,high,4.0,28,10,1.8028665437602471,3.4216044429692696,7.144527150742198,11.690099128554795,4.017732235466171,1.8028665189474906,3.42160442000908,7.144527121654024,11.69009910434562,4.017732206792538,2.129439626852303e-08,2.823569555943095e-08,3.7253896012501284e-08,3.970143179987673e-08,2.8673632991749186e-08,1.81,3.425,7.151000000000001,11.7,4.02275,0.0010672079035902726,0.004986744310599089,0.009070220830776864,0.00988291359291356,0.0050177645338293385,1.0,1.0,2.0,2.0,1.13,1233836.4393194285,1296145.6772140772,1599221.478215311,2264390.1419622544,1349690.539998295,236975.89742614614,299285.13532079477,602360.9363220286,1267529.600068972,352829.9981050125,1.2377222163654618,1.3002276875683925,1.604257978932537,2.2715214885139527,1.3539411816169409,1.8028665437602474,3.4060958122607654,6.612362987332299,10.00944043575448,3.868338130820386,1.0003339081441016,1.0017015927315827,1.0450393790566377,1.590462160009761,1.0288562309036882,0.0011536735123235165,0.005710227103180809,0.32125229700247665,2.9986223876181115,0.15441186917961408,1.0,1.0,1.0
3,job_b938af8f1574f2ab,economic_market_attempt,em_0c233daba9a500dd82e4b908,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,1,YES_OR_NO_QUERY-1680037637-0xff6c97ed8f9f6664b4f7a786c17f8f746e2d5bb85fef0a6c0493e0331d20cdd3,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,Will Donald J. Trump be indicted by April 14?,2023-03-31T01:21:25Z,False,YES_OR_NO_QUERY-1680218965-0x979d4274017e08936823a586a91ee29f037f1ec5558118262062167d7c425b23,9724,13414.688247,26829.376494,12954.793092225977,12954.793092225977,74,0,74,19345967.522906303,1493.3443849840874,True,1,7.879681755873538,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,low,0.2,28,10,0.06797254165250562,0.1026788818308397,0.1662501493214276,0.28011118785298833,0.11254633146270658,0.06797254044539756,0.1026788806877102,0.16625014808374014,0.28011118662135753,0.11254633002320648,1.0704342212619622e-09,1.40178459950846e-09,1.8768441245597955e-09,1.9881413572120365e-09,1.4395000995759412e-09,0.07,0.11,0.17,0.29,0.11756000000000001,0.0010683622672080103,0.004979463327878346,0.008958308858276616,0.009890745951542945,0.005013668537293423,1.0,1.0,1.0,1.0,1.001,30124.409959367924,377031.0240404183,6259787.924818349,6259787.924818349,1813144.6184611858,17169.616867141947,364076.23094819236,6246833.131726123,6246833.131726123,1800189.8253689597,2.3253485983844264,29.103592883059655,483.20246261399393,483.20246261399393,139.95936527533067,0.06797254141280917,0.10292912774371413,0.16638273573845777,0.2765653834868113,0.11265196104040259,1.0090522647770481,1.0446326571319609,1.0958732253102246,1.1380843063539803,1.0487463452451862,0.000942603595493051,0.004812817982228129,0.008901275722750375,0.009884358938144636,0.004908038959597391,1.0,1.0,1.0
3,job_b938af8f1574f2ab,economic_market_attempt,em_0c233daba9a500dd82e4b908,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,1,YES_OR_NO_QUERY-1680037637-0xff6c97ed8f9f6664b4f7a786c17f8f746e2d5bb85fef0a6c0493e0331d20cdd3,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,Will Donald J. Trump be indicted by April 14?,2023-03-31T01:21:25Z,False,YES_OR_NO_QUERY-1680218965-0x979d4274017e08936823a586a91ee29f037f1ec5558118262062167d7c425b23,9724,13414.688247,26829.376494,12954.793092225977,12954.793092225977,74,0,74,19345967.522906303,1493.3443849840874,True,1,7.879681755873538,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,baseline,1.0,28,10,0.33986270826252807,0.5133944091541984,0.8312507466071379,1.4005559392649416,0.5627316573135329,0.33986270222698783,0.5133944034385509,0.8312507404187006,1.4005559331067876,0.5627316501160323,5.352171106309811e-09,7.0089229975422995e-09,9.384220622798978e-09,9.940706786060182e-09,7.197500497879705e-09,0.34,0.52,0.84,1.41,0.56796,0.001173286751474445,0.005310812066446152,0.009106312930913818,0.009906564131780947,0.0052283426864671335,1.0,1.0,1.0,1.0,1.001,30010.93654154537,321350.11264418496,6259787.924818349,6259787.924818349,1714933.9137118463,17056.143449319392,308395.319551959,6246833.131726123,6246833.131726123,1701979.1206196204,2.3165894142728214,24.805499428394846,483.20246261399393,483.20246261399393,132.3783329847976,0.3398627070640459,0.513394406864746,0.8312507463369498,1.3828269174340564,0.562572580043743,1.0020623396419115,1.0095106225943167,1.0198984038676404,1.027694986879507,1.0104406529496621,0.0011404196546817792,0.005244767225600716,0.009098037974854312,0.009906719948998501,0.0053874199562570285,1.0,1.0,1.0
3,job_b938af8f1574f2ab,economic_market_attempt,em_0c233daba9a500dd82e4b908,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,1,YES_OR_NO_QUERY-1680037637-0xff6c97ed8f9f6664b4f7a786c17f8f746e2d5bb85fef0a6c0493e0331d20cdd3,0x311c0aa28d816f99414b945dbdbd4d123dc7bc984f947bea7c7eb766ff310a3a,Will Donald J. Trump be indicted by April 14?,2023-03-31T01:21:25Z,False,YES_OR_NO_QUERY-1680218965-0x979d4274017e08936823a586a91ee29f037f1ec5558118262062167d7c425b23,9724,13414.688247,26829.376494,12954.793092225977,12954.793092225977,74,0,74,19345967.522906303,1493.3443849840874,True,1,7.879681755873538,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,high,4.0,28,10,1.3594508330501123,2.0535776366167937,3.3250029864285517,5.602223757059766,2.2509266292541317,1.3594508089079513,2.0535776137542037,3.3250029616748025,5.60222373242715,2.2509266004641293,2.1408684425239245e-08,2.8035691990169198e-08,3.753688249119591e-08,3.976282714424073e-08,2.879000199151882e-08,1.36,2.06,3.33,5.61,2.2559899999999997,0.0010860224452509339,0.005115270647950476,0.008983388825303362,0.009912375867458308,0.005063370745868529,1.0,1.0,1.0,1.0,1.001,30010.93654154537,305640.69108550117,6259787.924818349,6259787.924818349,1694102.8205067907,17056.143449319392,292685.8979932752,6246833.131726123,6246833.131726123,1681148.0274145645,2.3165894142728214,23.59286550619729,483.20246261399393,483.20246261399393,130.77034951051456,1.3594508282561837,2.053577627458984,3.3250029853477994,5.531307669736226,2.2500748544877087,1.0005175654551761,1.0023266366964223,1.0048749593422925,1.007453009161571,1.0026929164076843,0.0010804122181681697,0.005091165222231853,0.008988814089689835,0.009915884134281506,0.005915145512291052,1.0,1.0,1.0
4,job_03055507e2dbcdac,economic_market_attempt,em_a43b5c760c2fa23c0ade0373,0x77b73053944b9ac13a7b1fd51245a5a56b9acba194ce687524b44a34ae1b9bf4,1,YES_OR_NO_QUERY-1676992620-0x4f7d73b8fc6bfabfee5a6de944faa11ad4f4d5f725af1c44e47355daf579d5b9,0x77b73053944b9ac13a7b1fd51245a5a56b9acba194ce687524b44a34ae1b9bf4,Will Donald J. Trump be indicted by May 31?,2023-03-31T01:33:05Z,False,YES_OR_NO_QUERY-1680219191-0xd818d8f01b789d550635012f91fd23107deb54b769ffce9c944bb2afc91d6da4,9724,13924.147996,27848.295992,13446.787055528728,13446.787055528728,74,0,74,19345967.522906303,1438.705576508114,True,1,7.879681755873538,all_observed_positive_stake_revealers,q_iu_equals_historical_unit_revealed_stake,True,low,0.2,29,11,0.06820474592555292,0.10301073195799314,0.16724185921680843,0.2567911204030481,0.11259084247651073,0.06820474477499452,0.10301073054931954,0.16724185787891518,0.25679111850186237,0.11259084105407292,1.0595105248700776e-09,1.3952694333241312e-09,1.85067987490406e-09,1.988564812593907e-09,1.422437808806798e-09,0.07,0.11,0.17,0.26,0.11755000000000002,0.0009344954403972344,0.004863028490788977,0.00898400745943957,0.009847528555638151,0.00495915752348926,1.0,1.0,1.0,1.0,1.001,30010.93654154537,321350.11264418496,6259787.924818349,6259787.924818349,1664856.0277359623,16564.149486016642,307903.32558865624,6246341.13776282,6246341.13776282,1651409.2406804338,2.231829537986637,23.89791043147812,465.5229460367337,465.5229460367337,123.81069328018002,0.06820474540638378,0.1036131100379693,0.16739766330743544,0.25679112040283414,0.11266235990171569,1.0079649287531909,1.0434160511654618,1.0967762606851679,1.1413452214671123,1.0490629558990394,0.000923978195836063,0.0047003043011466655,0.008962299777592785,0.009850044339612564,0.0048876400982843194,1.0,1.0,1.0
